codigo,sigla,nome,ativa,tipo,apelido,casa,dataCriacao,dataExtincao,dataInstalacao,finalidade,historia,participacao,composicao,atualizadoEm
2660,CCDDEX,Subcomissão Permanente para debater a desigualdade e a exclusão digital no Brasil,true,subcomissao,,SF,2024-03-20,,,,,,[object Object],2025-05-10T23:59:10.380Z
2770,CCTPANT,Subcomissão Permanente para o Desenvolvimento Sustentável do Pantanal,true,subcomissao,,SF,2025-04-29,,,,,,[object Object],2025-05-10T23:59:10.381Z
2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,true,subcomissao,,SF,2024-06-18,,,,,,[object Object],2025-05-10T23:59:10.381Z
2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,true,subcomissao,,SF,2023-05-31,,,,,,[object Object],2025-05-10T23:59:10.381Z
2723,CMABIOCER,Subcomissão Permanente do Bioma Cerrado,true,subcomissao,,SF,2025-03-11,,,,,,[object Object],2025-05-10T23:59:10.381Z
2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,true,subcomissao,,SF,2023-03-15,,,,,,[object Object],2025-05-10T23:59:10.381Z
2621,CREDC,Subcomissão Permanente de Defesa Cibernética,true,subcomissao,,SF,2023-06-15,,,,,,[object Object],2025-05-10T23:59:10.381Z
449,,,true,mista,,CN,,,,"A fiscalização e o controle externos das atividades de inteligência e contrainteligência e de outras a elas relacionadas, no Brasil ou no exterior.",,,[object Object],2025-05-10T23:59:10.381Z
1450,,,true,mista,,CN,,,,"Acompanhar, monitorar e fiscalizar, de modo contínuo, as ações referentes às mudanças climáticas no Brasil",,,[object Object],2025-05-10T23:59:10.381Z
1664,,,true,mista,,CN,,,,Apreciação das matérias orçamentárias e acompanhamento e fiscalização das respectivas execuções.,,,[object Object],2025-05-10T23:59:10.381Z
1774,,,true,mista,,CN,,,,Diagnosticar as lacunas existentes nas ações e serviços da Seguridade Social e na prestação de segurança pública e jurídica às mulheres vítimas de violência; e apresentar propostas para a consolidação da Política Nacional de Enfrentamento à Violência contra as Mulheres.,,,[object Object],2025-05-10T23:59:10.381Z
1775,,,true,mista,,CN,,,,A Comissão Mista é órgão de ligação entre o Congresso Nacional e a Assembleia Parlamentar da Comunidade dos Países de Língua Portuguesa (AP-CPLP),,,[object Object],2025-05-10T23:59:10.381Z
2091,,,true,mista,,CN,,,,"Destinada a apresentar projetos de lei visando à consolidação da legislação federal, à regulamentação dos dispositivos da Constituição Federal, bem como à modernização e ao fortalecimento econômico e social do País.",,,[object Object],2025-05-10T23:59:10.381Z
2301,,,true,mista,,CN,,,,"Acompanhar, monitorar e fiscalizar, de modo contínuo, as questões afetas aos movimentos migratórios nas fronteiras do Brasil e aos direitos dos refugiados.",,,[object Object],2025-05-10T23:59:10.381Z
